Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso,Edad,Km promedio por año
Peugeot,2008,2018.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,56000,Peugeot 2008 1.6 Allure,13800.0,U$S,concesionaria,No,6.0,9333.0
Peugeot,2008,2017.0,1.6 Allure Tip,Marrón,Nafta,5.0,Automática,1.6,SUV,62000,Peugeot 2008 1.6 Allure Tip,13473.68,U$S,tienda,,7.0,8857.0
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,71600,Peugeot 2008 1.6 Feline,13000.0,U$S,particular,,7.0,10228.0
Peugeot,2008,2017.0,1.6 Allure,,Nafta,5.0,Manual,1.6,SUV,115000,Peugeot 2008 1.6 Allure,11578.95,U$S,concesionaria,,7.0,16428.0
Peugeot,2008,2018.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,59000,Peugeot 2008 1.6 Feline,14900.0,U$S,particular,,6.0,9833.0
Peugeot,2008,2018.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,SUV,81000,Peugeot 2008 1.6 Allure Tip,13800.0,U$S,particular,,6.0,13500.0
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,96000,Peugeot 2008 1.6 Thp Sport,14210.53,U$S,particular,,8.0,12000.0
Peugeot,2008,2016.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,97000,Peugeot 2008 1.6 Allure,12000.0,U$S,concesionaria,,8.0,12125.0
Peugeot,2008,2018.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,115000,Peugeot 2008 1.6 Thp Sport,12421.05,U$S,particular,,6.0,19166.0
Peugeot,2008,2018.0,1.6 Allure,Negro,Nafta,5.0,Manual,1.6,SUV,94000,Peugeot 2008 1.6 Allure,13673.58,U$S,concesionaria,,6.0,15666.0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,,Nafta,5.0,Automática,1.6,SUV,23568,Peugeot 2008 1.6 Thp Sport Tip,20800.0,U$S,particular,,3.0,7856.0
Peugeot,2008,2016.0,1.6 Active,,Nafta,5.0,Manual,1.6,SUV,89000,Peugeot 2008 1.6 Active,12500.0,U$S,particular,,8.0,11125.0
Peugeot,2008,2018.0,1.6 Feline Tip,,Nafta,5.0,Automática,1.6,SUV,22000,Peugeot 2008 1.6 Feline Tip,15500.0,U$S,concesionaria,,6.0,3666.0
Peugeot,2008,2017.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,126000,Peugeot 2008 1.6 Thp Sport,13500.0,U$S,concesionaria,,7.0,18000.0
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,125000,Peugeot 2008 1.6 Thp Sport,10800.0,U$S,concesionaria,,8.0,15625.0
Peugeot,2008,2020.0,1.6 Thp Sport am20,Marrón,Nafta,5.0,Manual,1.6,SUV,31000,Peugeot 2008 1.6 Thp Sport am20,21000.0,U$S,particular,Sí,4.0,7750.0
Peugeot,2008,2016.0,1.6 Active,,Nafta,5.0,Manual,1.6,SUV,17000,Peugeot 2008 1.6 Active,13673.68,U$S,concesionaria,,8.0,2125.0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,58000,Peugeot 2008 1.6 Thp Sport Tip,20000.0,U$S,tienda,,2.0,29000.0
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,140000,Peugeot 2008 1.6 Feline,17105.26,U$S,concesionaria,,7.0,20000.0
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,75000,Peugeot 2008 1.6 Thp Sport,13157.89,U$S,concesionaria,,8.0,9375.0
Peugeot,2008,2020.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,30000,Peugeot 2008 1.6 Feline,18500.0,U$S,concesionaria,,4.0,7500.0
Peugeot,2008,2020.0,1.6 Thp Sport am20,,Nafta,5.0,Manual,1.6,SUV,53000,Peugeot 2008 1.6 Thp Sport am20,17900.0,U$S,particular,,4.0,13250.0
Peugeot,2008,2019.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,92000,Peugeot 2008 1.6 Thp Sport,18421.05,U$S,concesionaria,,5.0,18400.0
Peugeot,2008,2016.0,1.6 Allure,,Nafta,5.0,Manual,1.6,SUV,104000,Peugeot 2008 1.6 Allure,11578.95,U$S,particular,,8.0,13000.0
Peugeot,2008,2017.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,SUV,78000,Peugeot 2008 1.6 Allure Tip,14631.58,U$S,particular,,7.0,11142.0
Peugeot,2008,2020.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,55000,Peugeot 2008 1.6 Thp Sport,19000.0,U$S,particular,,4.0,13750.0
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,105000,Peugeot 2008 1.6 Feline,14631.58,U$S,particular,,7.0,15000.0
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,106000,Peugeot 2008 1.6 Feline,15000.0,U$S,particular,,7.0,15142.0
Peugeot,2008,2016.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,110000,Peugeot 2008 1.6 Feline,12631.58,U$S,particular,,8.0,13750.0
Peugeot,2008,2019.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,75000,Peugeot 2008 1.6 Feline,18947.37,U$S,particular,,5.0,15000.0
Peugeot,2008,2016.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,122000,Peugeot 2008 1.6 Thp Sport,10736.84,U$S,particular,,8.0,15250.0
Peugeot,2008,2016.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,107000,Peugeot 2008 1.6 Allure,15578.95,U$S,concesionaria,,8.0,13375.0
Peugeot,2008,2018.0,1.6 Active,,Nafta,5.0,Manual,1.6,SUV,160000,Peugeot 2008 1.6 Active,12400.0,U$S,particular,,6.0,26666.0
Peugeot,2008,2020.0,1.6 Thp Sport am20,,Nafta,5.0,Manual,1.6,SUV,52000,Peugeot 2008 1.6 Thp Sport am20,17894.74,U$S,particular,,4.0,13000.0
Peugeot,2008,2018.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,SUV,37000,Peugeot 2008 1.6 Allure Tip,14600.0,U$S,particular,,6.0,6166.0
Peugeot,2008,2023.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,SUV,11190,Peugeot 2008 1.6 Feline,24800.0,U$S,particular,,1.0,11190.0
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,95000,Peugeot 2008 1.6 Feline,14210.53,U$S,particular,,7.0,13571.0
Peugeot,2008,2017.0,1.6 Active,,Nafta,5.0,Manual,1.6,SUV,121000,Peugeot 2008 1.6 Active,10700.0,U$S,particular,,7.0,17285.0
Peugeot,2008,2019.0,1.6 Crossway,Blanco,Nafta,5.0,Manual,1.6,SUV,53117,Peugeot 2008 1.6 Crossway,16736.84,U$S,concesionaria,,5.0,10623.0
Peugeot,2008,2021.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,30000,Peugeot 2008 1.6 Feline,20000.0,U$S,particular,,3.0,10000.0
Peugeot,2008,2019.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,SUV,58000,Peugeot 2008 1.6 Feline,17789.47,U$S,concesionaria,,5.0,11600.0
Peugeot,2008,2016.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,SUV,97000,Peugeot 2008 1.6 Allure Tip,14684.21,U$S,particular,,8.0,12125.0
Peugeot,2008,2023.0,Active Pack TipTroni,,Nafta,5.0,Manual,1.6,SUV,4300,Peugeot 2008 Active Pack TipTroni,19300.0,U$S,particular,,1.0,4300.0
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,100000,Peugeot 2008 1.6 Thp Sport,12800.0,U$S,particular,,7.0,14285.0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Plateado,Nafta,5.0,Automática,1.6,SUV,58000,Peugeot 2008 1.6 Thp Sport Tip,19500.0,U$S,particular,,3.0,19333.0
Peugeot,2008,2017.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,SUV,95000,Peugeot 2008 1.6 Allure Tip,13000.0,U$S,particular,,7.0,13571.0
Peugeot,2008,2021.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,24900,Peugeot 2008 1.6 Allure,17800.0,U$S,concesionaria,,3.0,8300.0
Peugeot,2008,2018.0,1.6 Feline Tip,,Nafta,5.0,Automática,1.6,SUV,92000,Peugeot 2008 1.6 Feline Tip,13000.0,U$S,particular,,6.0,15333.0
Peugeot,2008,2019.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,50000,Peugeot 2008 1.6 Thp Sport,18210.53,U$S,particular,,5.0,10000.0
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,48003,Peugeot 2008 1.6 Feline,16500.0,U$S,concesionaria,,6.0,8000.0
Peugeot,2008,2022.0,1.6 Feline Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,27000,Peugeot 2008 1.6 Feline Tip,23684.21,U$S,tienda,,2.0,13500.0
Peugeot,2008,2017.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,SUV,49000,Peugeot 2008 1.6 Feline,15000.0,U$S,concesionaria,,7.0,7000.0
Peugeot,2008,2020.0,1.6 FELINE L/19 TIPTRONIC,Gris,Nafta,5.0,Automática,1,SUV,47520,Peugeot 2008 1.6 FELINE L/19 TIPTRONIC,18673.68,U$S,tienda,No,4.0,11880.0
Peugeot,2008,2022.0,1.6 THP SPORT TIPTRONIC,Blanco,Nafta,5.0,Automática,1,SUV,17219,Peugeot 2008 1.6 THP SPORT TIPTRONIC,23084.21,U$S,tienda,No,2.0,8609.0
Peugeot,2008,2016.0,1.6 FELINE MT 4x2,Plateado,Nafta,5.0,Manual,1,SUV,51000,Peugeot 2008 1.6 FELINE MT 4x2,14094.74,U$S,tienda,No,8.0,6375.0
Peugeot,2008,2022.0,1.6 Féline Mt,Gris,Nafta,5.0,Manual,1,SUV,21271,Peugeot 2008 1.6 Féline Mt,22631.58,U$S,tienda,No,2.0,10635.0
Peugeot,2008,2018.0,1.6 THP SPORT MT,Blanco,Nafta,5.0,Manual,1,SUV,47300,Peugeot 2008 1.6 THP SPORT MT,16663.16,U$S,tienda,No,6.0,7883.0
Peugeot,2008,2021.0,1.6 In Concert,Rojo,Nafta,5.0,Manual,1.6,SUV,44000,Peugeot 2008 1.6 In Concert,18950.0,U$S,concesionaria,Sí,3.0,14666.0
Peugeot,2008,2024.0,1.6 Feline Tip,Plateado,Nafta,5.0,Automática,1.6,SUV,0,Peugeot 2008 1.6 Feline Tip,16842.11,U$S,concesionaria,,0.0,0.0
Peugeot,2008,2016.0,1.6 ACTIVE MT 4x2,Gris,Nafta,5.0,Manual,1,SUV,55598,Peugeot 2008 1.6 ACTIVE MT 4x2,12978.95,U$S,tienda,No,8.0,6949.0
Peugeot,2008,2016.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,95000,Peugeot 2008 1.6 Allure,13500.0,U$S,concesionaria,,8.0,11875.0
Peugeot,2008,2017.0,1.6 Féline Mt,Plateado,Nafta,5.0,Manual,1,SUV,76085,Peugeot 2008 1.6 Féline Mt,14147.37,U$S,tienda,No,7.0,10869.0
Peugeot,2008,2019.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,67000,Peugeot 2008 1.6 Allure,17368.42,U$S,concesionaria,,5.0,13400.0
Peugeot,2008,2019.0,1.6 Feline Tiptronic,Gris,Nafta,5.0,Automática,1,SUV,69784,Peugeot 2008 1.6 Feline Tiptronic,16431.58,U$S,tienda,No,5.0,13956.0
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,5.0,Manual,1.6,SUV,17500,Peugeot 2008 1.6 Allure,20842.11,U$S,tienda,,3.0,5833.0
Peugeot,2008,2018.0,1.6 Allure Mt,Blanco,Nafta,5.0,Manual,1,SUV,97442,Peugeot 2008 1.6 Allure Mt,11915.79,U$S,tienda,No,6.0,16240.0
Peugeot,2008,2022.0,1.6 Feline,Gris,Nafta,5.0,Manual,INYECCION MULTI PUNTO,SUV,69000,Peugeot 2008 1.6 Feline,22547.37,U$S,tienda,Sí,2.0,34500.0
Peugeot,2008,2018.0,1.6 Allure,,Nafta,5.0,Manual,1.6,SUV,94000,Peugeot 2008 1.6 Allure,13673.58,U$S,concesionaria,,6.0,15666.0
Peugeot,2008,2018.0,1.6 Active,Blanco,Nafta,5.0,Manual,1.6,SUV,88000,Peugeot 2008 1.6 Active,15105.26,U$S,concesionaria,,6.0,14666.0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,8000,Peugeot 2008 1.6 Thp Sport Tip,22000.0,U$S,concesionaria,Sí,2.0,4000.0
Peugeot,2008,2017.0,1.6 Thp Sport,Gris,Nafta,5.0,Manual,1.6,SUV,129800,Peugeot 2008 1.6 Thp Sport,12500.0,U$S,concesionaria,,7.0,18542.0
Peugeot,2008,2018.0,1.6 THP SPORT MT,Blanco,Nafta,5.0,Manual,1,SUV,14380,Peugeot 2008 1.6 THP SPORT MT,18347.37,U$S,tienda,No,6.0,2396.0
Peugeot,2008,2021.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,SUV,13000,Peugeot 2008 1.6 Feline,19800.0,U$S,concesionaria,,3.0,4333.0
Peugeot,2008,2019.0,1.6 Thp Sport,Marrón,Nafta,5.0,Manual,1.6,SUV,25000,Peugeot 2008 1.6 Thp Sport,19473.58,U$S,tienda,,5.0,5000.0
Peugeot,2008,2017.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,SUV,50520,Peugeot 2008 1.6 Allure Tip,13200.0,U$S,concesionaria,,7.0,7217.0
Peugeot,2008,2020.0,1.6 ALLURE L/19 MT,Blanco,Nafta,5.0,Manual,1,SUV,16835,Peugeot 2008 1.6 ALLURE L/19 MT,19252.63,U$S,tienda,No,4.0,4208.0
Peugeot,2008,2016.0,1.6 Allure Tip,Marrón,Nafta,5.0,Automática,1.6,SUV,80100,Peugeot 2008 1.6 Allure Tip,12700.0,U$S,concesionaria,,8.0,10012.0
Peugeot,2008,2017.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,78000,Peugeot 2008 1.6 Thp Sport,13000.0,U$S,concesionaria,,7.0,11142.0
Peugeot,2008,2019.0,1.6 Thp Sport,Plateado,Nafta,5.0,Manual,1.6,SUV,63200,Peugeot 2008 1.6 Thp Sport,18210.53,U$S,tienda,,5.0,12640.0
Peugeot,2008,2020.0,1.6 In Concert Tiptronic,Plateado,Nafta,5.0,Automática,1.6,SUV,78406,Peugeot 2008 1.6 In Concert Tiptronic,16500.0,U$S,concesionaria,,4.0,19601.0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,8910,Peugeot 2008 1.6 Thp Sport Tip,26000.0,U$S,concesionaria,,2.0,4455.0
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,50000,Peugeot 2008 1.6 Feline,16526.32,U$S,concesionaria,,7.0,7142.0
Peugeot,2008,2018.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,79000,Peugeot 2008 1.6 Allure,14526.32,U$S,concesionaria,,6.0,13166.0
Peugeot,2008,2017.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,87000,Peugeot 2008 1.6 Allure,13684.21,U$S,concesionaria,,7.0,12428.0
